"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TAX1BP12",7.38364704737784e-10,2.47037683258772,0.596,0.439,2.21509411421335e-06,"14","TAX1BP1"
"FRYL3",7.89976414197868e-10,0.83180273164811,0.558,0.418,2.3699292425936e-06,"14","FRYL"
"CACNB42",8.24581770364597e-10,4.40177142284214,0.506,0.258,2.47374531109379e-06,"14","CACNB4"
"CAP22",1.10488671605432e-09,2.1382177199717,0.622,0.41,3.31466014816295e-06,"14","CAP2"
"LRMDA1",1.42094285884171e-09,5.6042775193786,0.404,0.206,4.26282857652512e-06,"14","LRMDA"
"MT-CO13",1.46539562628395e-09,0.885315832628751,0.692,0.497,4.39618687885184e-06,"14","MT-CO1"
"EPHA63",1.75316002608112e-09,3.87947711382483,0.577,0.343,5.25948007824337e-06,"14","EPHA6"
"TCEAL32",2.22003358299549e-09,0.993610459890276,0.449,0.359,6.66010074898648e-06,"14","TCEAL3"
"MT-ND4L3",3.14478812950684e-09,1.2516154537988,0.628,0.421,9.43436438852053e-06,"14","MT-ND4L"
"TTR",4.11702466011051e-09,7.01961171368517,0.295,0.118,1.23510739803315e-05,"14","TTR"
"VPS13B2",4.24380543824354e-09,4.60157985987347,0.596,0.416,1.27314163147306e-05,"14","VPS13B"
"LPP3",4.96319251053466e-09,0.941349727028192,0.635,0.461,1.4889577531604e-05,"14","LPP"
"ENSG000002905484",5.96096715798127e-09,0.674898418004843,0.603,0.409,1.78829014739438e-05,"14","ENSG00000290548"
"LINC026722",6.17646496086337e-09,5.04857537712032,0.615,0.275,1.85293948825901e-05,"14","LINC02672"
"ALCAM4",6.54705159039661e-09,3.23737767313996,0.5,0.37,1.96411547711898e-05,"14","ALCAM"
"FBXO28",8.81945478497421e-09,4.22416932909837,0.66,0.433,2.64583643549226e-05,"14","FBXO28"
"MT-ND62",8.95145456871918e-09,1.23892113917295,0.603,0.416,2.68543637061575e-05,"14","MT-ND6"
"BICD13",9.67337219402285e-09,0.751639146022779,0.622,0.407,2.90201165820686e-05,"14","BICD1"
"EHBP11",1.22573964674702e-08,5.42713022059466,0.603,0.401,3.67721894024107e-05,"14","EHBP1"
"TSPAN12",1.51270625003642e-08,3.87674925586349,0.41,0.306,4.53811875010927e-05,"14","TSPAN1"
"NRP14",1.51484512801703e-08,2.31840841639279,0.571,0.377,4.54453538405108e-05,"14","NRP1"
"ARG21",1.58765955787656e-08,4.73600512368699,0.558,0.367,4.76297867362967e-05,"14","ARG2"
"DEGS11",1.67546311856974e-08,1.49476807413075,0.538,0.379,5.02638935570923e-05,"14","DEGS1"
"TENM2",1.95671142528228e-08,3.64755607685329,0.321,0.143,5.87013427584683e-05,"14","TENM2"
"PRKAA11",2.11671623727483e-08,4.90964556737644,0.635,0.433,6.3501487118245e-05,"14","PRKAA1"
"ABR2",2.2107162077179e-08,1.07297071442368,0.519,0.388,6.6321486231537e-05,"14","ABR"
"BROX4",2.59865628161763e-08,2.32237915318109,0.615,0.434,7.79596884485288e-05,"14","BROX"
"ENTPD31",3.26680129683115e-08,6.25754417058618,0.276,0.166,9.80040389049346e-05,"14","ENTPD3"
"SUSD41",3.40796735244267e-08,0.542739810521887,0.519,0.303,0.00010223902057328,"14","SUSD4"
"SLC9A24",4.38560750538617e-08,2.14690774952358,0.474,0.319,0.000131568225161585,"14","SLC9A2"
"SLC9C12",4.41724285753211e-08,1.56102839313448,0.468,0.208,0.000132517285725963,"14","SLC9C1"
"MCM92",5.09373503451562e-08,0.635920359232084,0.519,0.317,0.000152812051035469,"14","MCM9"
"DNPH15",5.37837568173571e-08,1.72796868820539,0.628,0.437,0.000161351270452071,"14","DNPH1"
"SNX253",5.78066380914672e-08,4.3141132817859,0.474,0.351,0.000173419914274402,"14","SNX25"
"ENSG00000287720",6.01410818215896e-08,1.60411749118877,0.314,0.134,0.000180423245464769,"14","ENSG00000287720"
"PREX21",8.36038337951735e-08,4.55690397166095,0.429,0.141,0.000250811501385521,"14","PREX2"
"TARS14",8.70654013609e-08,1.16395446848698,0.603,0.43,0.0002611962040827,"14","TARS1"
"ENSG00000266602",1.1033499832216e-07,5.16816172639094,0.372,0.237,0.000331004994966481,"14","ENSG00000266602"
"ID15",1.20587159799469e-07,3.2886678594188,0.263,0.183,0.000361761479398407,"14","ID1"
"CSPP11",1.28718371696397e-07,6.01181782510534,0.577,0.385,0.000386155115089192,"14","CSPP1"
"SERPINI12",1.41453850932912e-07,4.84851082682254,0.468,0.249,0.000424361552798737,"14","SERPINI1"
"DENND2B2",1.46105753930736e-07,2.5956909259509,0.449,0.321,0.000438317261792207,"14","DENND2B"
"PARD3B1",1.59987466063299e-07,0.559166304488602,0.596,0.421,0.000479962398189896,"14","PARD3B"
"S100A113",1.61784250569147e-07,2.24357178826532,0.647,0.453,0.000485352751707442,"14","S100A11"
"ENSG000002894054",1.77832096429666e-07,0.44073204446526,0.34,0.276,0.000533496289288998,"14","ENSG00000289405"
"PAN32",2.03450185270997e-07,1.90034229943325,0.603,0.421,0.00061035055581299,"14","PAN3"
"CDYL22",2.21765045096895e-07,3.32883232447054,0.327,0.261,0.000665295135290685,"14","CDYL2"
"DNASE13",3.70476020005548e-07,0.522733639676558,0.513,0.393,0.00111142806001664,"14","DNASE1"
"SLC25A372",3.7313840256532e-07,1.04155245551868,0.59,0.423,0.00111941520769596,"14","SLC25A37"
"SNTB23",4.23666528894563e-07,1.51917962612022,0.551,0.392,0.00127099958668369,"14","SNTB2"
"LPXN3",5.08955824746057e-07,0.966174522240783,0.462,0.285,0.00152686747423817,"14","LPXN"
"MICAL22",5.56849577266684e-07,3.65787547250573,0.276,0.222,0.00167054873180005,"14","MICAL2"
"RDH112",5.58253363155077e-07,1.99270225176437,0.551,0.411,0.00167476008946523,"14","RDH11"
"CBLB4",6.97212867373668e-07,1.46700348191667,0.455,0.342,0.002091638602121,"14","CBLB"
"DMXL14",7.67861031545681e-07,1.88535483696049,0.609,0.422,0.00230358309463704,"14","DMXL1"
"DOP1B1",8.04044709372897e-07,5.11974806442718,0.628,0.434,0.00241213412811869,"14","DOP1B"
"ADAMTS11",8.80583449302427e-07,3.18584924479588,0.276,0.191,0.00264175034790728,"14","ADAMTS1"
"GPD23",1.02390841245851e-06,2.80244869746947,0.545,0.344,0.00307172523737554,"14","GPD2"
"STBD12",1.07027005470331e-06,5.50958967997531,0.481,0.298,0.00321081016410994,"14","STBD1"
"ABAT1",1.07121006102983e-06,4.78479683103224,0.314,0.24,0.00321363018308948,"14","ABAT"
"ADAM101",1.16830974862789e-06,1.0169195860652,0.571,0.43,0.00350492924588366,"14","ADAM10"
"HEIH2",1.50063205766892e-06,2.09005586692902,0.487,0.345,0.00450189617300675,"14","HEIH"
"ENSG000002540244",1.55071078970218e-06,2.84801475639381,0.526,0.358,0.00465213236910655,"14","ENSG00000254024"
"FTO3",1.57097137208972e-06,1.17404878302237,0.558,0.399,0.00471291411626915,"14","FTO"
"GOLGB15",2.05127544606402e-06,0.714130631760102,0.609,0.437,0.00615382633819206,"14","GOLGB1"
"SCHLAP14",2.32944115767938e-06,2.2754455866758,0.513,0.385,0.00698832347303813,"14","SCHLAP1"
"MT-ND23",2.87232147446856e-06,0.86121510448711,0.596,0.437,0.00861696442340569,"14","MT-ND2"
"MCF2L3",2.91164224291027e-06,6.49378596345639,0.462,0.332,0.00873492672873082,"14","MCF2L"
"HIBCH1",3.69705721980287e-06,2.58574196570829,0.583,0.421,0.0110911716594086,"14","HIBCH"
"LMF15",3.72918206931879e-06,1.02529443172902,0.532,0.402,0.0111875462079564,"14","LMF1"
"OSBP22",4.13616423206961e-06,1.77541098467817,0.436,0.316,0.0124084926962088,"14","OSBP2"
"ALDH1A22",4.59712184621959e-06,5.5748317445207,0.327,0.197,0.0137913655386588,"14","ALDH1A2"
"PHLDB21",4.8429687095956e-06,2.99162019741445,0.314,0.115,0.0145289061287868,"14","PHLDB2"
